,측정일시,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
0,2019-01-01,0.03012,0.01568,0.672,0.00432,37.64,24.76
1,2019-01-02,0.03648,0.0118,0.7040000000000001,0.00468,34.4,22.2
2,2019-01-03,0.04536,0.00668,0.772,0.00512,39.2,23.88
3,2019-01-04,0.05892,0.00364,1.056,0.0060799999999999995,59.88,41.56
4,2019-01-05,0.03008,0.01644,0.66,0.0051600000000000005,64.2,40.92
5,2019-01-06,0.0374,0.00996,0.648,0.00528,49.0,23.4
6,2019-01-07,0.04872,0.00796,0.924,0.005680000000000001,56.76,37.12
7,2019-01-08,0.0236,0.01968,0.52,0.0051600000000000005,40.64,18.28
8,2019-01-09,0.0362,0.008239999999999999,0.6559999999999999,0.00504,51.36,22.36
9,2019-01-10,0.047,0.00432,0.74,0.00544,57.6,33.88
10,2019-01-11,0.053040000000000004,0.00464,0.956,0.005680000000000001,80.16,56.96
11,2019-01-12,0.05264,0.00868,1.016,0.00588,95.6,69.16
12,2019-01-13,0.049240000000000006,0.012920000000000001,1.148,0.0057599999999999995,115.08,82.96
13,2019-01-14,0.06404,0.00528,1.42,0.00612,166.36,128.76
14,2019-01-15,0.02848,0.01924,0.872,0.00512,134.36,80.56
15,2019-01-16,0.02604,0.01468,0.5,0.00432,45.64,17.28
16,2019-01-17,0.03604,0.01188,0.6559999999999999,0.00492,43.12,22.44
17,2019-01-18,0.050839999999999996,0.00768,0.912,0.00572,61.4,38.88
18,2019-01-19,0.05432000000000001,0.00796,1.036,0.0064,96.12,67.28
19,2019-01-20,0.0184,0.024319999999999998,0.552,0.00476,65.8,32.76
20,2019-01-21,0.03896,0.009479999999999999,0.68,0.00488,45.04,21.36
21,2019-01-22,0.046239999999999996,0.00924,0.96,0.00532,67.16,33.32
22,2019-01-23,0.03852,0.0154,0.884,0.0051600000000000005,73.72,44.12
23,2019-01-24,0.04092,0.010320000000000001,0.644,0.005,41.04,20.68
24,2019-01-25,0.03016,0.01752,0.5760000000000001,0.00504,50.84,21.0
25,2019-01-26,0.02036,0.02236,0.46,0.00456,42.64,19.68
26,2019-01-27,0.0328,0.015,0.6,0.00484,36.08,20.44
27,2019-01-28,0.0212,0.022799999999999997,0.5,0.00456,85.48,23.68
28,2019-01-29,0.0432,0.008,0.652,0.00536,67.32,23.08
29,2019-01-30,0.05091999999999999,0.00784,0.76,0.005560000000000001,62.52,32.96
